Date,Average,Interpolated,Trend,,,,,
3/31/1958,315.71,315.71,314.62,,,,,
4/30/1958,317.45,317.45,315.29,,,,,
5/31/1958,317.5,317.5,314.71,,,,,
6/30/1958,-99.99,317.1,314.85,,,,,
7/31/1958,315.86,315.86,314.98,,,,,
8/31/1958,314.93,314.93,315.94,,,,,
9/30/1958,313.2,313.2,315.91,,,,,
10/31/1958,-99.99,312.66,315.61,,,,,
11/30/1958,313.33,313.33,315.31,,,,,
12/31/1958,314.67,314.67,315.61,,,,,
1/31/1959,315.62,315.62,315.7,,,,,
2/28/1959,316.38,316.38,315.88,,,,,
3/31/1959,316.71,316.71,315.62,,,,,
4/30/1959,317.72,317.72,315.56,,,,,
5/31/1959,318.29,318.29,315.5,,,,,
6/30/1959,318.15,318.15,315.92,,,,,
7/31/1959,316.54,316.54,315.66,,,,,
8/31/1959,314.8,314.8,315.81,,,,,
9/30/1959,313.84,313.84,316.55,,,,,
10/31/1959,313.26,313.26,316.19,,,,,
11/30/1959,314.8,314.8,316.78,,,,,
12/31/1959,315.58,315.58,316.52,,,,,
1/31/1960,316.43,316.43,316.51,,,,,
2/29/1960,316.97,316.97,316.47,,,,,
3/31/1960,317.58,317.58,316.49,,,,,
4/30/1960,319.02,319.02,316.86,,,,,
5/31/1960,320.03,320.03,317.24,,,,,
6/30/1960,319.59,319.59,317.36,,,,,
7/31/1960,318.18,318.18,317.3,,,,,
8/31/1960,315.91,315.91,316.92,,,,,
9/30/1960,314.16,314.16,316.87,,,,,
10/31/1960,313.83,313.83,316.76,,,,,
11/30/1960,315,315,316.98,,,,,
12/31/1960,316.19,316.19,317.13,,,,,
1/31/1961,316.93,316.93,317.03,,,,,
2/28/1961,317.7,317.7,317.28,,,,,
3/31/1961,318.54,318.54,317.47,,,,,
4/30/1961,319.48,319.48,317.27,,,,,
5/31/1961,320.58,320.58,317.7,,,,,
6/30/1961,319.77,319.77,317.48,,,,,
7/31/1961,318.57,318.57,317.7,,,,,
8/31/1961,316.79,316.79,317.8,,,,,
9/30/1961,314.8,314.8,317.49,,,,,
10/31/1961,315.38,315.38,318.35,,,,,
11/30/1961,316.1,316.1,318.13,,,,,
12/31/1961,317.01,317.01,317.94,,,,,
1/31/1962,317.94,317.94,318.06,,,,,
2/28/1962,318.56,318.56,318.11,,,,,
3/31/1962,319.68,319.68,318.57,,,,,
4/30/1962,320.63,320.63,318.45,,,,,
5/31/1962,321.01,321.01,318.2,,,,,
6/30/1962,320.55,320.55,318.27,,,,,
7/31/1962,319.58,319.58,318.67,,,,,
8/31/1962,317.4,317.4,318.48,,,,,
9/30/1962,316.26,316.26,319.03,,,,,
10/31/1962,315.42,315.42,318.33,,,,,
11/30/1962,316.69,316.69,318.62,,,,,
12/31/1962,317.69,317.69,318.61,,,,,
